District,Variety,Area,Yield,Production
Bagerhat,Aus,4722,2.467,11650
Bandarban,Aus,12747,1.857,23672
Barguna,Aus,53328,2.298,122564
Barishal,Aus,21770,1.757,38239
Bhola,Aus,84740,2.031,172102
Bogura,Aus,20232,2.836,57385
Brahmanbaria,Aus,8624,2.434,20992
Chandpur,Aus,9774,2.689,26286
Chapinawabgonj,Aus,52015,2.661,138418
Chattagram,Aus,36058,2.706,97581
Chuadanga,Aus,37776,2.901,109585
Cox's Bazar,Aus,3181,2.813,8950
Cumilla,Aus,71060,2.693,191367
Dhaka,Aus,486,2.26,1098
Dinajpur,Aus,6914,2.94,20324
Faridpur,Aus,12293,1.291,15869
Feni,Aus,11840,2.373,28102
Gaibandha,Aus,2407,2.558,6157
Gazipur,Aus,1333,2.937,3914
Gopalgonj,Aus,3071,1.552,4765
Hobigonj,Aus,44900,2.714,121870
Jamalpur,Aus,2649,2.331,6174
Jashore,Aus,19455,2.548,49574
Jhalakathi,Aus,14127,2.426,34279
Jhenaidah,Aus,30773,2.65,81538
Joypurhat,Aus,171,2.751,471
Khagrachari,Aus,4027,2.376,9567
Khulna,Aus,2802,1.418,3974
Kishoregonj,Aus,13261,2.578,34193
Kurigram,Aus,1626,2.27,3692
Kushtia,Aus,30212,2.62,79165
Lakshmipur,Aus,27533,2.444,67283
Lalmonirhat,Aus,4852,2.913,14134
Madaripur,Aus,1402,1.29,1808
Magura,Aus,2668,2.36,6296
Manikgonj,Aus,1833,1.721,3153
Maulavibazar,Aus,56723,2.715,153990
Meherpur,Aus,14220,2.966,42168
Munsigonj,Aus,124,2.832,351
Mymenshing,Aus,15625,2.669,41708
Naogaon,Aus,61614,2.916,179648
Narail,Aus,5412,1.777,9619
Narsingdi,Aus,475,2.697,1281
Naryangonj,Aus,1200,1.422,1707
Natore,Aus,7408,2.436,18043
Netrokona,Aus,617,2.684,1657
Nilphamari,Aus,409,2.731,1116
Noakhali,Aus,38483,2.295,88331
Pabna,Aus,15614,2.166,33819
Panchagar,Aus,377,2.782,1049
Patuakhali,Aus,30374,2.226,67620
Perojpur,Aus,17268,2.28,39368
Rajbari,Aus,1253,1.303,1633
Rajshahi,Aus,46579,2.833,131950
Rangamati,Aus,6400,1.528,9781
Rangpur,Aus,16314,2.888,47115
Satkhira,Aus,6199,2.644,16387
Shariatpur,Aus,8663,1.695,14686
Sherpur,Aus,2672,2.556,6831
Sirajgonj,Aus,5952,2.109,12552
Sunamgonj,Aus,13857,2.503,34677
Sylhet,Aus,58830,2.66,156469
Tangail,Aus,894,1.698,1519
Thakurgaon,Aus,15111,2.926,44214
Bagerhat,Aman,69132,1.69,116802
Bandarban,Aman,9826,2.667,26210
Barguna,Aman,81749,1.927,157492
Barishal,Aman,122065,1.71,208723
Bhola,Aman,174258,2.43,423522
Bogura,Aman,175577,2.665,467997
Brahmanbaria,Aman,53872,2.472,133161
Chandpur,Aman,44168,1.798,79413
Chapinawabgonj,Aman,53322,2.681,142977
Chattagram,Aman,169719,2.567,435740
Chuadanga,Aman,32680,2.748,89821
Cox's Bazar,Aman,73395,2.672,196112
Cumilla,Aman,134770,2.346,316154
Dhaka,Aman,8060,1.561,12583
Dinajpur,Aman,260380,2.958,770155
Faridpur,Aman,83298,2.59,215743
Feni,Aman,61753,2.602,160699
Gaibandha,Aman,125299,2.791,349760
Gazipur,Aman,43864,2.66,116674
Gopalgonj,Aman,26639,1.521,40506
Hobigonj,Aman,102618,2.499,256459
Jamalpur,Aman,102802,2.391,245755
Jashore,Aman,126228,2.887,364433
Jhalakathi,Aman,47445,1.54,73084
Jhenaidah,Aman,99037,2.848,282094
Joypurhat,Aman,76028,2.869,218127
Khagrachari,Aman,26758,2.727,72981
Khulna,Aman,95606,2.347,224346
Kishoregonj,Aman,70940,2.773,196690
Kurigram,Aman,116104,2.71,314620
Kushtia,Aman,84636,2.852,241348
Lakshmipur,Aman,72538,2.554,185273
Lalmonirhat,Aman,83444,2.865,239059
Madaripur,Aman,26463,1.643,43480
Magura,Aman,57381,2.685,154063
Manikgonj,Aman,34882,1.299,45328
Maulavibazar,Aman,105107,2.868,301451
Meherpur,Aman,25330,2.745,69537
Munsigonj,Aman,20589,1.009,20772
Mymenshing,Aman,267877,2.42,648376
Naogaon,Aman,162985,2.723,443820
Narail,Aman,39209,2.179,85418
Narsingdi,Aman,40561,2.501,101431
Naryangonj,Aman,10617,1.518,16118
Natore,Aman,77357,2.475,191444
Netrokona,Aman,129326,2.269,293442
Nilphamari,Aman,112475,3.014,338997
Noakhali,Aman,147200,2.233,328736
Pabna,Aman,88965,2.177,193696
Panchagar,Aman,96550,2.962,285975
Patuakhali,Aman,171119,1.893,323902
Perojpur,Aman,64446,1.708,110101
Rajbari,Aman,49194,2.777,136599
Rajshahi,Aman,72369,2.713,196312
Rangamati,Aman,9557,2.65,25324
Rangpur,Aman,165563,2.959,489855
Satkhira,Aman,85419,2.823,241143
Shariatpur,Aman,14522,1.549,22493
Sherpur,Aman,86539,2.319,200707
Sirajgonj,Aman,87202,2.325,202740
Sunamgonj,Aman,74562,2.577,192140
Sylhet,Aman,144224,2.455,354070
Tangail,Aman,111945,2.123,237661
Thakurgaon,Aman,134405,2.866,385230
Bagerhat,Boro,56100,4.581,256997
Bandarban,Boro,6223.95,3.897,24253.34
Barguna,Boro,1314.39,2.999,3941.489
Barishal,Boro,50803.7,3.84,195100.6
Bhola,Boro,41369,3.892,161002.8
Bogura,Boro,185915,3.817,709612
Brahmanbaria,Boro,111308,4.234,471297.9
Chandpur,Boro,61792.3,3.845,237576.3
Chapinawabgonj,Boro,45510.5,3.623,164882
Chattagram,Boro,61882.9,3.959,244972
Chuadanga,Boro,32616.2,4.022,131195
